"","word","freq"
"that","that",3
"this","this",2
"fire","fire",2
"for","for",2
"works","works",2
"you","you",2
"httpswwweveripediacomhollycovella","httpswwweveripediacomhollycovella",2
"great","great",1
"many","many",1
"opening","opening",1
"yay","yay",1
"arman","arman",1
"get","get",1
"miri","miri",1
"oxford","oxford",1
"biss","biss",1
"michael","michael",1
"all","all",1
"evolution","evolution",1
"httpssoundcloudcom34126evolution","httpssoundcloudcom34126evolution",1
"love","love",1
"song","song",1
"thx","thx",1
"ull","ull",1
"httpsmfacebookcomstoryphpstoryfbid10212296376059093id1069521641","httpsmfacebookcomstoryphpstoryfbid10212296376059093id1069521641",1
"racist","racist",1
"covella","covella",1
"did","did",1
"girl","girl",1
"guys","guys",1
"holly","holly",1
"horrible","horrible",1
"look","look",1
"person","person",1
"she","she",1
"shes","shes",1
"what","what",1
"and","and",1
"inventor","inventor",1
"scientistengineer","scientistengineer",1
"httpswwwbloombergcomnewsarticles20170710teslasaustralianbatteryfixcomesatbigpricewoodmac","httpswwwbloombergcomnewsarticles20170710teslasaustralianbatteryfixcomesatbigpricewoodmac",1
